config,n_free,N,num_points,L,run,seed,train_data_seed,test_data_seed,test_rel_error,test_abs_error,test_loss,train_loss,epochs_run,stopping_reason,train_time
mu,1,16,100,8,3,103,203,303,0.002169233933091164,0.003769568294286728,2.5576010346412658e-05,1.697106745268684e-05,2000,max_epochs,2.628641512012109
mu,1,16,100,8,4,104,204,304,0.0018618140518665313,0.0031352015137672425,1.7824318609200418e-05,1.301288193644723e-05,2000,max_epochs,2.6537713540019467
mu,1,16,100,8,5,105,205,305,0.0020473505407571794,0.0033384815156459807,1.977157243527472e-05,1.4560700037691277e-05,2000,max_epochs,2.6664641000097618
mu,1,16,100,8,6,106,206,306,0.0018586528301239014,0.003212069809436798,1.7031053313985466e-05,1.7397211195202544e-05,2000,max_epochs,2.6678283369983546
mu,1,16,1000,1,0,100,200,300,0.00194100421667099,0.003343542993068695,1.886485260911286e-05,0.00010599947080481797,2000,max_epochs,10.698683419002919
mu,1,16,1000,1,1,101,201,301,0.0031236880123615266,0.005938318610191345,4.4826912693679335e-05,2.798224170692265e-05,2000,max_epochs,10.687632008979563
mu,1,16,1000,1,2,102,202,302,0.006843568086624146,0.013686454296112061,0.00021688026376068592,0.0007122698123566806,2000,max_epochs,10.653597425000044
mu,1,16,1000,1,3,103,203,303,0.010204097270965577,0.02049158453941345,0.00047059425339102747,0.0005405654134228825,2000,max_epochs,10.690088440984255
mu,1,16,1000,1,4,104,204,304,0.0019134117215871811,0.003309065967798233,1.774741103872657e-05,1.6800636047264562e-05,2000,max_epochs,10.689905186009128
mu,1,16,1000,1,5,105,205,305,0.008885562896728516,0.01774850928783417,0.0003513303995132446,0.00048739233613014223,2000,max_epochs,10.57490438700188
mu,1,16,1000,1,6,106,206,306,0.0022376358956098558,0.0040819271504879,2.3207415360957383e-05,5.033768084831536e-05,2000,max_epochs,10.55281363998074
mu,1,16,1000,2,0,100,200,300,0.011363499760627747,0.022562873363494874,0.0005566852018237114,0.001211862526834011,2000,max_epochs,10.509117036010139
mu,1,16,1000,2,1,101,201,301,0.0018068279623985291,0.003059154033660889,1.6665928880684078e-05,1.552813358284766e-05,2000,max_epochs,10.502554009988671
mu,1,16,1000,2,2,102,202,302,0.002719667971134186,0.0050371744632720945,3.3817843301221726e-05,2.9192434187280013e-05,2000,max_epochs,10.619577612000285
mu,1,16,1000,2,3,103,203,303,0.003724503457546234,0.0071756807565689085,6.399240298196673e-05,3.067372934310697e-05,2000,max_epochs,10.50108514999738
